,ZCTA,n_households,med_income,population,density,city,state_id,state_name,lat,lng,Unnamed: 0,EMP,EMPSZES,GEO_ID,PAYANN,ESTAB,YEAR,zip code
0,1001,7460,57694,17621,562.8,Agawam,MA,Massachusetts,42.06258,-72.6259,1,9891,1,8610000US01001,422470,473,2017,1001
1,1002,9976,52379,30066,203.7,Amherst,MA,Massachusetts,42.37492,-72.4621,8,8482,1,8610000US01002,299103,545,2017,1002
2,1003,31,2500,11238,5629.7,Amherst,MA,Massachusetts,42.39192,-72.52479,15,337,1,8610000US01003,10380,21,2017,1003
3,1005,1785,70325,4991,44.3,Barre,MA,Massachusetts,42.42018,-72.10615,20,1248,1,8610000US01005,35287,94,2017,1005
4,1007,5558,86165,14967,107.5,Belchertown,MA,Massachusetts,42.27875,-72.40035999999999,26,1939,1,8610000US01007,60005,223,2017,1007
5,1008,548,62750,1197,9.1,Blandford,MA,Massachusetts,42.18428,-72.95203000000001,31,184,1,8610000US01008,3026,23,2017,1008
6,1009,157,59440,249,352.1,Bondsville,MA,Massachusetts,42.209720000000004,-72.33971,35,137,1,8610000US01009,6238,17,2017,1009
7,1010,1465,86523,3739,40.1,Brimfield,MA,Massachusetts,42.12863,-72.20624000000001,38,296,1,8610000US01010,16065,82,2017,1010
8,1011,572,75263,1448,16.7,Chester,MA,Massachusetts,42.29653,-72.95969000000001,43,32,1,8610000US01011,1202,12,2017,1011
9,1012,233,70114,560,19.5,Chesterfield,MA,Massachusetts,42.38698,-72.84631999999999,45,45,1,8610000US01012,1230,9,2017,1012
10,1013,9273,39868,23065,1589.6,Chicopee,MA,Massachusetts,42.1595,-72.60824000000001,46,4661,1,8610000US01013,185602,322,2017,1013
11,1020,12491,58780,30097,914.6,Chicopee,MA,Massachusetts,42.17637,-72.56537,54,8741,1,8610000US01020,330544,555,2017,1020
12,1022,1223,43349,2499,198.3,Chicopee,MA,Massachusetts,42.197309999999995,-72.54267,63,2310,1,8610000US01022,121569,64,2017,1022
13,1026,459,51442,954,15.2,Cummington,MA,Massachusetts,42.4633,-72.92024,70,167,1,8610000US01026,8887,23,2017,1026
14,1027,7871,63699,17848,168.4,Easthampton,MA,Massachusetts,42.29508,-72.74309000000001,72,4015,1,8610000US01027,153487,415,2017,1027
15,1028,5978,85221,16200,469.2,East Longmeadow,MA,Massachusetts,42.05968,-72.49908,79,8184,1,8610000US01028,342535,510,2017,1028
16,1029,316,50750,651,19.2,East Otis,MA,Massachusetts,42.19632,-73.04836,87,193,1,8610000US01029,6804,14,2017,1029
17,1030,4290,71716,11123,381.2,Feeding Hills,MA,Massachusetts,42.06886,-72.67999,86,1033,1,8610000US01030,34878,209,2017,1030
18,1031,531,41875,1197,62.2,Gilbertville,MA,Massachusetts,42.32933,-72.19821999999999,94,76,1,8610000US01031,1454,21,2017,1031
19,1032,251,78011,533,18.7,Goshen,MA,Massachusetts,42.45029,-72.81300999999999,97,127,1,8610000US01032,4734,27,2017,1032
20,1033,2457,89965,6333,86.4,Granby,MA,Massachusetts,42.26081,-72.50363,100,748,1,8610000US01033,28897,131,2017,1033
21,1034,878,87045,2179,10.9,Granville,MA,Massachusetts,42.08485,-72.95765,105,115,1,8610000US01034,5638,31,2017,1034
22,1035,2316,58953,5310,87.8,Hadley,MA,Massachusetts,42.35564,-72.56921,108,5242,1,8610000US01035,168423,315,2017,1035
23,1036,1976,81304,5191,101.3,Hampden,MA,Massachusetts,42.06369,-72.4159,116,952,1,8610000US01036,37063,117,2017,1036
24,1037,238,92750,798,22.9,Hardwick,MA,Massachusetts,42.37011,-72.19771999999999,121,276,1,8610000US01037,13561,20,2017,1037
25,1038,1337,67096,2867,98.4,Hatfield,MA,Massachusetts,42.3855,-72.60699,123,1579,1,8610000US01038,74878,65,2017,1038
26,1039,526,80000,1042,39.0,Haydenville,MA,Massachusetts,42.406290000000006,-72.69362,130,269,1,8610000US01039,12283,35,2017,1039
27,1040,15403,37954,40376,727.5,Holyoke,MA,Massachusetts,42.212559999999996,-72.64107,132,16434,1,8610000US01040,725530,859,2017,1040
28,1050,925,68869,2422,25.5,Huntington,MA,Massachusetts,42.28784,-72.86986,143,170,1,8610000US01050,5888,33,2017,1050
29,1053,562,62222,1702,126.8,Leeds,MA,Massachusetts,42.35348,-72.71161,147,1664,1,8610000US01053,109764,29,2017,1053
30,1054,818,87174,1983,31.4,Leverett,MA,Massachusetts,42.47363,-72.48746,151,116,1,8610000US01054,4984,38,2017,1054
31,1056,8086,67715,21336,299.6,Ludlow,MA,Massachusetts,42.19212,-72.45804,154,4437,1,8610000US01056,199890,413,2017,1056
