,EMP,EMPSZES,GEO_ID,PAYANN,ESTAB,YEAR,zip code
1,9891,1,8610000US01001,422470,473,2017,01001
8,8482,1,8610000US01002,299103,545,2017,01002
15,337,1,8610000US01003,10380,21,2017,01003
18,213,1,8610000US01004,5912,12,2017,01004
20,1248,1,8610000US01005,35287,94,2017,01005
26,1939,1,8610000US01007,60005,223,2017,01007
31,184,1,8610000US01008,3026,23,2017,01008
35,137,1,8610000US01009,6238,17,2017,01009
38,296,1,8610000US01010,16065,82,2017,01010
43,32,1,8610000US01011,1202,12,2017,01011
45,45,1,8610000US01012,1230,9,2017,01012
46,4661,1,8610000US01013,185602,322,2017,01013
54,8741,1,8610000US01020,330544,555,2017,01020
61,246,1,8610000US01021,6809,7,2017,01021
63,2310,1,8610000US01022,121569,64,2017,01022
70,167,1,8610000US01026,8887,23,2017,01026
72,4015,1,8610000US01027,153487,415,2017,01027
79,8184,1,8610000US01028,342535,510,2017,01028
86,1033,1,8610000US01030,34878,209,2017,01030
87,193,1,8610000US01029,6804,14,2017,01029
94,76,1,8610000US01031,1454,21,2017,01031
97,127,1,8610000US01032,4734,27,2017,01032
100,748,1,8610000US01033,28897,131,2017,01033
105,115,1,8610000US01034,5638,31,2017,01034
108,5242,1,8610000US01035,168423,315,2017,01035
116,952,1,8610000US01036,37063,117,2017,01036
121,276,1,8610000US01037,13561,20,2017,01037
123,1579,1,8610000US01038,74878,65,2017,01038
130,269,1,8610000US01039,12283,35,2017,01039
132,16434,1,8610000US01040,725530,859,2017,01040
138,1026,1,8610000US01041,39291,25,2017,01041
143,170,1,8610000US01050,5888,33,2017,01050
147,1664,1,8610000US01053,109764,29,2017,01053
151,116,1,8610000US01054,4984,38,2017,01054
154,4437,1,8610000US01056,199890,413,2017,01056
161,65,1,8610000US01059,2108,7,2017,01059
163,12115,1,8610000US01060,527663,755,2017,01060
171,91,1,8610000US01061,4985,17,2017,01061
174,1653,1,8610000US01062,68373,195,2017,01062
184,66,1,8610000US01068,3572,29,2017,01068
187,3235,1,8610000US01069,151097,260,2017,01069
190,745,1,8610000US01057,33977,133,2017,01057
199,21,1,8610000US01070,534,9,2017,01070
201,89,1,8610000US01071,2644,21,2017,01071
204,79,1,8610000US01072,1955,21,2017,01072
207,1117,1,8610000US01073,36613,134,2017,01073
213,55,1,8610000US01074,2317,8,2017,01074
215,4623,1,8610000US01075,157337,310,2017,01075
221,2123,1,8610000US01077,80967,222,2017,01077
228,73,1,8610000US01079,2772,14,2017,01079
230,528,1,8610000US01080,16099,42,2017,01080
234,58,1,8610000US01081,2775,16,2017,01081
237,1891,1,8610000US01082,74710,161,2017,01082
243,240,1,8610000US01083,12990,38,2017,01083
247,37,1,8610000US01084,1572,4,2017,01084
248,13980,1,8610000US01085,623786,868,2017,01085
256,327,1,8610000US01088,13160,32,2017,01088
257,654,1,8610000US01086,24635,16,2017,01086
