,df_id,name,type,days without containment,Affected Zips,Damage,displaced people
,6076,camp fire,wildfre,,"95914, 95916, 95917, 95973, 95928, 95926, 95930, 95938, 95941, 95942, 95948, 95954, 95965, 95966, 96968, 95969, 95974, 95987",8400000000,53400
,5954,old fire,wildfre,,"92404, 92346, 92407, 92410, 92405, 92325, 92322.",480300000,5000
2013,5822,Colorado wildfires (Black Forest fire),wildfre,20,"80106, 80132, 80133, 80808, 80809, 80817, 80819, 80829, 80831, 80832, 80833, 80835, 80840, 80841, 80863, 80864, 80901, 80902, 80903, 80904, 80905, 80906, 80907, 80908, 80909, 80910, 80911, 80912, 80913, 80914, 80915, 80916, 80917, 80918, 80919, 80920, 80921, 80922, 80923, 80924, 80925, 80926, 80927, 80928, 80929, 80930, 80931, 80932, 80933, 80934, 80935, 80936, 80937, 80938, 80939, 80941, 80942, 80943, 80944, 80945, 80946, 80947, 80949, 80950, 80951, 80960, 80962, 80970, 80977, 80995, 80997, 81008, 81226",90000000,43416
2016,5939,blue cut fire,wildfre,7,"92345, 92397, 92358, 93545, 92407, 92392, 92019, 92020, 92021, 92022",,82000
2017,6014,Caribou Fire - Montana,wildfre,83,59930,,100
,,,wildfre,,,,
,,,wildfre,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
